"コード","銘柄名","市場","現在値","前日比(%)","PSR(株価売上高倍率)(倍)","PBR(株価純資産倍率)(倍)","時価総額(百万円)","売上高変化率(%)","自己資本比率(%)","株価移動平均線乖離率(%)"
"5974","中国工業","東S","635","-5.0(-0.78%)","0.16","0.46","2,172","4.06","37.43","-1.03"
"5986","モリテック　スチール","東S","264","+7.0(+2.72%)","0.16","0.46","5,955","31.82","35.23","-4.76"
"5987","オーネックス","東S","1901","-54.0(-2.76%)","0.60","0.56","3,156","1.17","56.90","-2.44"
"5997","協立エアテック","東S","663","-7.0(-1.04%)","0.30","0.41","3,978","7.11","55.51","-0.84"
"5998","アドバネクス","東S","1010","-25.0(-2.42%)","0.17","0.57","4,195","13.38","27.25","-3.55"
"6022","赤阪鐵工所","東S","2251","-2.0(-0.09%)","0.45","0.37","3,467","3.04","63.86","-4.39"
"6042","ニッキ","東S","2727","+15.0(+0.55%)","0.57","0.51","5,454","-0.47","48.36","-0.06"
"6111","旭精機工業","名M","2094","+0.0(+0.00%)","0.40","0.38","6,468","1.40","66.55","-0.03"
"6147","ヤマザキ","東S","357","-1.0(-0.28%)","0.60","1.11","1,635","0.81","34.11","-0.67"
"6150","タケダ機械","東S","3060","+25.0(+0.82%)","0.60","0.61","3,121","5.50","62.98","-0.10"
"6171","土木管理総合試験所","東S","326","-4.0(-1.21%)","0.64","1.00","4,636","4.68","67.50","-0.31"
"6186","一蔵","東S","581","-39.0(-6.29%)","0.17","0.80","3,205","6.35","20.87","-5.13"
"6189","グローバルキッズＣＯＭＰＡＮＹ","東S","651","+6.0(+0.93%)","0.24","0.76","6,152","3.22","48.44","-0.15"
"6218","エンシュウ","東S","704","+6.0(+0.86%)","0.18","0.39","4,473","3.80","33.25","-0.03"
"6233","ＫＬＡＳＳ","東S","536","+0.0(+0.00%)","0.29","0.99","2,890","2.36","27.56","-0.33"
"6267","ゼネラルパッカー","東S","2859","+0.0(+0.00%)","0.56","0.80","5,143","4.76","57.29","-0.70"
"6286","靜甲","東S","736","-11.0(-1.47%)","0.14","0.34","4,772","9.98","52.22","-2.13"
"6325","タカキタ","東S","490","+5.0(+1.03%)","0.70","0.77","6,860","10.03","76.74","-0.73"
"6327","北川精機","東S","660","-18.0(-2.65%)","0.74","1.34","5,049","28.41","39.17","-3.65"
"6335","東京機械製作所","東S","450","-13.0(-2.81%)","0.46","0.52","3,928","27.87","50.47","-3.06"
"6342","太平製作所","東S","3020","-90.0(-2.89%)","0.67","0.72","4,530","30.37","58.87","-5.54"
"6347","プラコー","東S","216","-7.0(-3.14%)","0.65","1.00","2,034","10.43","50.85","-2.70"
"6360","東京自働機械製作所","東S","2810","-19.0(-0.67%)","0.30","0.59","4,080","50.88","38.64","-0.18"
"6380","オリエンタルチエン工業","東S","1850","-49.0(-2.58%)","0.67","1.65","2,714","16.31","36.69","-0.87"
"6396","宇野澤組鐵工所","東S","3200","-70.0(-2.14%)","0.71","1.40","3,584","16.54","32.11","-2.23"
"6400","不二精機","東S","322","-2.0(-0.62%)","0.34","0.93","2,915","4.89","31.85","-0.31"
"6403","水道機工","東S","1527","+40.0(+2.69%)","0.29","0.67","6,560","-3.23","45.81","-2.03"
"6416","桂川電機","東S","847","+11.0(+1.32%)","0.23","0.31","1,315","1.57","69.61","-1.51"
"6439","中日本鋳工","名M","485","-9.0(-1.82%)","0.21","0.35","1,119","2.37","37.92","-2.10"
"6518","三相電機","東S","1171","+2.0(+0.17%)","0.28","0.48","5,446","8.89","54.44","-0.75"
"6542","ＦＣ　ＨＬＤＧ","東S","889","+1.0(+0.11%)","0.66","0.82","6,098","0.23","76.06","-0.07"
"6546","フルテック","東S","1120","-9.0(-0.80%)","0.51","0.98","6,012","3.75","56.75","-1.03"
"6549","ディーエムソリューションズ","東S","1230","-26.0(-2.07%)","0.19","1.38","3,456","7.06","42.93","-1.24"
"6633","Ｃ＆Ｇシステムズ","東S","315","-2.0(-0.63%)","0.68","0.98","3,087","18.07","53.10","-0.57"
"6659","メディアリンクス","東S","33","-2.0(-5.71%)","0.33","0.45","1,094","1.07","53.60","-5.17"
"6734","ニューテック","東S","1426","-14.0(-0.97%)","0.75","1.19","2,968","23.70","57.41","-1.14"
"6771","池上通信機","東S","819","-2.0(-0.24%)","0.24","0.41","5,967","19.90","43.89","-5.88"
"6803","ティアック","東S","96","-1.0(-1.03%)","0.18","0.89","2,777","-1.91","28.40","-1.64"
"6858","小野測器","東S","453","+1.0(+0.22%)","0.41","0.34","5,527","5.59","65.82","-1.01"
"6867","リーダー電子","東S","620","-32.0(-4.91%)","0.72","0.68","2,786","7.28","74.98","-11.00"
"6888","アクモス","東S","498","-2.0(-0.40%)","0.83","1.72","5,087","27.14","55.46","-0.36"
"6898","トミタ電機","東S","1489","+14.0(+0.95%)","0.49","0.28","1,216","9.61","77.71","-0.01"
"6926","岡谷電機産業","東S","275","-13.0(-4.51%)","0.38","0.75","6,303","28.00","49.01","-3.44"
"6938","双信電機","東S","293","-3.0(-1.01%)","0.43","0.41","5,011","22.81","75.41","-0.81"
"6943","ＮＫＫスイッチズ","東S","6240","-160.0(-2.50%)","0.51","0.42","5,257","15.55","80.25","-1.70"
"6969","松尾電機","東S","612","-74.0(-10.79%)","0.47","0.86","1,965","-1.27","32.93","-11.61"
"6977","日本抵抗器製作所","東S","1009","-11.0(-1.08%)","0.18","0.76","1,251","16.48","21.67","-0.18"
"6982","リード","東S","624","-8.0(-1.27%)","0.32","0.62","1,643","26.67","31.78","-4.06"
"6998","日本タングステン","東S","1247","-3.0(-0.24%)","0.48","0.54","6,429","5.04","66.88","-0.97"
"7022","サノヤスＨＬＤＧ","東S","144","-1.0(-0.69%)","0.24","0.60","4,865","5.21","30.87","-0.55"
"7039","ブリッジインターナショナル","東G","1495","-24.0(-1.58%)","0.81","1.35","5,634","4.66","80.38","-6.08"
"7041","ＣＲＧ　ＨＬＤＧ","東G","515","+3.0(+0.59%)","0.13","0.91","2,824","-2.64","43.09","-0.39"
"7044","ピアラ","東S","316","-1.0(-0.32%)","0.19","1.44","2,251","0.84","31.18","-0.69"
"7060","ギークス","東S","474","-12.0(-2.47%)","0.31","1.12","4,893","11.55","47.73","-4.01"
"7062","フレアス","東G","967","-32.0(-3.20%)","0.51","1.32","2,275","9.81","38.04","-2.93"
"7067","ブランディングテクノロジー","東G","1005","-60.0(-5.63%)","0.33","1.33","1,607","4.54","55.63","-4.23"
"7083","ＡＨＣグループ","東G","738","-27.0(-3.53%)","0.27","1.34","1,552","20.61","22.05","-5.75"
"7084","Ｋｉｄｓ　Ｓｍｉｌｅ　ＨＬＤＧ","東G","907","-3.0(-0.33%)","0.25","0.47","2,942","11.27","44.75","-0.61"
"7087","ウイルテック","東S","860","-19.0(-2.16%)","0.17","0.75","5,556","10.88","57.57","-2.41"
"7116","ダイワ通信","東S","1336","-24.0(-1.76%)","0.76","1.49","3,617","0.58","64.71","-3.37"
"7131","のむら産業","東S","1498","-38.0(-2.47%)","0.34","1.21","2,085","9.42","43.36","-3.44"
"7134","アップガレージグループ","東S","667","-10.0(-1.48%)","0.47","1.49","5,268","7.84","64.01","-2.40"
"7135","ジャパンクラフトＨＬＤＧ","東S","166","-1.0(-0.60%)","0.30","1.01","5,063","8.16","39.54","-0.72"
"7214","ＧＭＢ","東S","1239","+5.0(+0.41%)","0.07","0.30","6,565","22.07","27.85","-0.82"
"7215","ファルテック","東S","554","-16.0(-2.81%)","0.07","0.31","5,196","7.20","24.20","-1.04"
"7265","エイケン工業","東S","2933","-17.0(-0.58%)","0.44","0.52","3,637","-2.27","80.41","-0.58"
"7284","盟和産業","東S","1031","+4.0(+0.39%)","0.17","0.33","3,611","7.71","47.08","-0.15"
"7297","カーメイト","東S","877","-10.0(-1.13%)","0.38","0.43","6,954","4.57","69.45","-0.72"
"7362","Ｔ．Ｓ．Ｉ","東G","1190","+4.0(+0.34%)","0.44","1.68","1,824","20.60","35.77","-0.07"
"7369","メイホーＨＬＤＧ","東G","2073","-488.0(-19.06%)","0.54","1.53","3,242","20.58","51.24","-16.45"
"7372","デコルテＨＬＤＧ","東G","466","-2.0(-0.43%)","0.41","0.50","2,642","9.99","34.88","-3.28"
"7399","ナンシン","東S","558","+0.0(+0.00%)","0.38","0.33","4,301","6.58","71.21","-0.32"
"7443","横浜魚類","東S","589","+8.0(+1.38%)","0.17","1.70","3,705","5.39","39.68","-1.14"
"7462","ＣＡＰＩＴＡ","東S","355","-1.0(-0.28%)","0.38","0.86","1,459","0.01","58.00","-3.38"
"7477","ムラキ","東S","1706","-58.0(-3.29%)","0.34","0.99","2,508","1.67","63.26","-2.16"
"7501","ティムコ","東S","751","-7.0(-0.92%)","0.55","0.40","2,508","3.44","81.19","-0.92"
"7509","アイエーグループ","東S","3535","-15.0(-0.42%)","0.15","0.38","5,816","-0.91","48.18","-0.23"
"7538","大水","東S","314","-7.0(-2.18%)","0.04","0.51","4,325","10.89","36.61","-3.15"
"7544","スリーエフ","東S","459","-72.0(-13.56%)","0.30","1.00","3,538","7.67","80.38","-1.50"
"7608","エスケイジャパン","東S","697","-7.0(-0.99%)","0.60","1.42","5,918","49.74","83.70","-1.02"
"7615","ＹＵ−ＷＡ　Ｃｒｅａｔｉｏｎ","東S","142","-2.0(-1.39%)","0.19","0.39","1,775","-1.82","37.72","-1.25"
"7623","サンオータス","東S","565","-27.0(-4.56%)","0.12","0.58","1,825","0.21","28.85","-3.39"
"7625","グローバルダイニング","東S","517","-24.0(-4.44%)","0.51","1.17","5,369","16.04","53.31","-2.64"
"7698","アイスコ","東S","1590","-40.0(-2.45%)","0.07","0.97","3,089","6.20","20.92","-1.58"
"7800","アミファ","東S","643","-4.0(-0.62%)","0.24","0.81","2,080","37.37","54.25","-0.59"
"7813","プラッツ","東G","676","+4.0(+0.60%)","0.38","0.76","2,519","-1.04","52.18","-0.06"
"7827","オービス","東S","1393","+0.0(+0.00%)","0.21","0.49","2,453","2.27","41.29","-0.37"
"7851","カワセコンピュータサプライ","東S","247","+2.0(+0.82%)","0.46","0.49","1,275","0.01","64.19","-0.56"
"7857","セキ","東S","1332","-3.0(-0.22%)","0.47","0.39","6,005","6.64","80.57","-0.13"
"7865","ピープル","東S","940","-28.0(-2.89%)","0.57","1.77","4,171","35.80","77.28","-2.63"
"7877","永大化工","東S","1542","-8.0(-0.52%)","0.25","0.31","2,251","0.09","69.53","-0.25"
"7878","光・彩","東S","2475","-35.0(-1.39%)","0.56","1.43","1,960","12.31","49.81","-2.50"
"7894","丸東産業","福","2005","-1.0(-0.05%)","0.18","0.37","3,188","8.15","50.58","-0.26"
"7896","セブン工業","東S","505","+0.0(+0.00%)","0.13","0.32","2,360","10.23","59.96","-0.20"
"7919","野崎印刷紙業","東S","158","+1.0(+0.64%)","0.20","0.76","3,391","2.70","34.79","-0.88"
"7922","三光産業","東S","421","-2.0(-0.47%)","0.27","0.32","3,317","2.29","71.75","-0.38"
"7923","トーイン","東S","641","+13.0(+2.07%)","0.25","0.35","4,088","10.24","50.80","-0.71"
"7957","フジコピアン","東S","1499","-21.0(-1.38%)","0.24","0.21","2,682","14.57","62.48","-0.48"
"7980","重松製作所","東S","763","+5.0(+0.66%)","0.42","0.74","5,494","8.03","48.34","-0.31"
"7983","ミロク","東S","1479","-13.0(-0.87%)","0.37","0.28","4,445","3.63","73.26","-1.07"
"7985","ネポン","東S","1734","+61.0(+3.65%)","0.20","0.64","1,670","6.78","36.13","-0.42"
"7997","くろがね工作所","東S","794","+14.0(+1.79%)","0.19","0.32","1,475","3.76","52.07","-0.03"
"8072","日本出版貿易","東S","2399","+36.0(+1.52%)","0.15","0.78","1,679","1.61","29.66","-1.39"
"8105","堀田丸正","東S","49","+0.0(+0.00%)","0.71","0.91","2,922","4.46","81.90","-1.21"
"8119","三栄コーポレーション","東S","2537","-43.0(-1.67%)","0.16","0.60","6,477","13.77","51.30","-5.07"
"8123","川辺","東S","1060","+0.0(+0.00%)","0.16","0.30","1,973","16.36","52.56","-4.30"
"8127","ヤマトインターナショナル","東S","303","+3.0(+1.00%)","0.30","0.37","6,455","7.23","74.74","-0.13"
"8135","ゼット","東S","310","+0.0(+0.00%)","0.12","0.47","6,232","11.45","44.81","-2.08"
"8145","中部水産","名M","2510","-36.0(-1.41%)","0.12","0.32","4,837","1.12","82.66","-2.37"
"8152","ソマール","東S","3210","+10.0(+0.31%)","0.25","0.42","6,288","10.26","62.37","-0.62"
"8181","東天紅","東S","842","-4.0(-0.47%)","0.59","0.34","2,166","85.47","58.75","-0.38"
"8215","銀座山形屋","東S","1190","-5.0(-0.42%)","0.55","0.93","2,147","6.60","52.48","-0.05"
"8230","はせがわ","東S","353","-4.0(-1.12%)","0.30","0.59","6,582","9.17","60.08","-1.34"
"8783","ＧＦＡ","東S","37","+0.0(+0.00%)","0.82","1.48","2,512","96.65","21.82","-3.14"
"8940","インテリックス","東S","559","-2.0(-0.36%)","0.11","0.40","4,993","14.10","25.76","-0.82"
"8946","ＡＳＩＡＮ　ＳＴＡＲ","東S","83","-1.0(-1.19%)","0.65","0.94","1,976","-2.09","54.35","-1.89"
"8995","誠建設工業","東S","959","-18.0(-1.84%)","0.57","0.51","1,930","10.39","70.80","-3.75"
"8996","ハウスフリーダム","東S","818","-5.0(-0.61%)","0.26","1.09","3,362","9.93","20.09","-0.41"
"9012","秩父鉄道","東S","2027","+12.0(+0.60%)","0.64","0.60","3,040","7.72","29.60","-0.12"
"9036","東部ネットワーク","東S","1128","-14.0(-1.23%)","0.61","0.31","6,485","11.71","82.22","-3.51"
"9063","岡山県貨物運送","東S","3105","-50.0(-1.58%)","0.17","0.32","6,831","-2.04","43.50","-2.17"
"9073","京極運輸商事","東S","641","-4.0(-0.62%)","0.23","0.50","2,051","-2.72","52.41","-0.53"
"9127","玉井商船","東S","1902","+1.0(+0.05%)","0.50","0.57","3,675","8.50","58.59","-1.87"
"9173","東海汽船","東S","2482","+4.0(+0.16%)","0.39","1.12","5,460","28.86","20.58","-0.12"
"9220","エフビー介護サービス","東S","1136","+11.0(+0.98%)","0.31","1.01","3,040","4.72","33.53","-0.07"
"9265","ヤマシタヘルスケアＨＬＤＧ","東S","2225","-2.0(-0.09%)","0.10","0.72","5,680","5.53","32.18","-0.63"
"9327","イー・ロジット","東S","504","-3.0(-0.59%)","0.14","1.45","1,870","5.05","22.86","-1.83"
"9330","揚羽","東G","963","-10.0(-1.03%)","0.79","1.47","1,366","24.19","63.40","-0.95"
"9361","伏木海陸運送","東S","1554","-3.0(-0.19%)","0.31","0.38","4,064","7.02","47.23","-0.64"
"9362","兵機海運","東S","2422","-16.0(-0.66%)","0.16","0.72","2,965","14.30","31.26","-0.08"
"9363","大運","東S","396","-2.0(-0.50%)","0.25","0.72","2,466","1.88","59.64","-2.99"
"9365","トレーディア","東S","1328","-38.0(-2.78%)","0.10","0.53","1,952","7.97","35.30","-1.76"
"9366","サンリツ","東S","776","+16.0(+2.11%)","0.21","0.42","4,661","9.77","47.73","-0.56"
"9376","ユーラシア旅行社","東S","498","-10.0(-1.97%)","0.64","1.10","1,838","486.67","63.68","-2.28"
"9478","ＳＥ　Ｈ＆インキュベーションズ","東S","301","+1.0(+0.33%)","0.80","0.84","6,015","3.46","58.72","-1.25"
"9610","ウィルソン・ラーニング　ワール","東S","140","-1.0(-0.71%)","0.29","0.65","897","39.35","52.18","-0.71"
"9647","協和コンサルタンツ","東S","4335","-50.0(-1.14%)","0.33","0.77","2,541","-0.84","46.60","-3.65"
"9776","札幌臨床検査センター","東S","1011","-4.0(-0.39%)","0.17","0.32","4,262","5.33","64.07","-0.28"
"9827","リリカラ","東S","506","+1.0(+0.20%)","0.19","0.81","6,407","2.51","36.54","-1.21"
"9835","ジュンテンドー","東S","602","-1.0(-0.17%)","0.11","0.38","5,015","-2.48","33.59","-0.23"
"9853","銀座ルノアール","東S","914","+12.0(+1.33%)","0.90","1.73","5,714","34.38","50.29","-1.80"
"9854","愛眼","東S","181","-2.0(-1.09%)","0.25","0.29","3,815","2.85","86.80","-1.09"
"9876","コックス","東S","250","-4.0(-1.57%)","0.47","1.10","6,928","11.92","61.33","-0.71"
"9914","植松商会","東S","1215","+29.0(+2.45%)","0.42","0.98","2,843","5.52","62.82","-1.28"
"9969","ショクブン","東S","270","-2.0(-0.74%)","0.59","1.58","4,777","2.06","46.04","-1.39"