,順位,コード,名称,市場,時価総額,上場年月日,取引値,決算年月
263,264,9248,人・夢・技術グループ(株),東証PRM,16921,2021-10-01,1797.0,2023/09
264,265,6522,(株)アスタリスク,東証GRT,4543,2021-09-30,639.0,2023/08
265,266,4375,セーフィー(株),東証GRT,39509,2021-09-29,715.0,2022/12
266,267,9246,(株)プロジェクトホールディングス,東証GRT,12009,2021-09-29,2045.0,2022/12
267,268,4073,(株)ジィ・シィ企画,東証GRT,1993,2021-09-28,798.0,2023/06
268,269,4374,(株)ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,東証GRT,9893,2021-09-28,2630.0,2022/12
269,270,9244,(株)デジタリフト,東証GRT,1312,2021-09-28,841.0,2023/09
270,271,9245,(株)リベロ,東証GRT,7731,2021-09-28,1453.0,2022/12
271,272,4889,(株)レナサイエンス,東証GRT,4919,2021-09-24,387.0,2023/03
272,273,4371,(株)コアコンセプト・テクノロジー,東証GRT,43462,2021-09-22,2500.0,2022/12
273,274,4372,ユミルリンク(株),東証GRT,4768,2021-09-22,1225.0,2022/12
274,275,4373,シンプレクス・ホールディングス(株),東証PRM,143776,2021-09-22,2493.0,2023/03
275,276,4018,(株)Ｇｅｏｌｏｃａｔｉｏｎ　Ｔｅｃｈｎｏｌｏｇｙ,福岡Q,1124,2021-09-13,726.0,2023/06
276,277,4370,モビルス(株),東証GRT,2712,2021-09-02,454.0,2023/08
277,278,9242,メディア総研(株),東証GRT,1910,2021-09-02,1585.0,2023/07
278,279,2934,ジェイフロンティア(株),東証GRT,18666,2021-08-27,3650.0,2023/05
279,280,7126,グローバルスタイル(株),東証STD,5517,2021-08-24,1575.0,2023/07
280,281,4076,(株)シイエヌエス,東証GRT,5036,2021-08-20,1733.0,2023/05
281,282,9241,(株)フューチャーリンクネットワーク,東証GRT,1137,2021-08-20,1360.0,2023/08
282,283,6227,ＡＩメカテック(株),東証STD,30402,2021-07-30,5400.0,2023/06
283,284,9240,(株)デリバリーコンサルティング,東証GRT,3172,2021-07-29,670.0,2023/07
284,285,4075,ブレインズテクノロジー(株),東証GRT,5836,2021-07-28,1049.0,2023/07
285,286,7379,(株)サーキュレーション,東証GRT,7041,2021-07-27,838.0,2023/07
286,287,2991,(株)ランドネット,東証STD,5976,2021-07-21,1004.0,2023/07
287,288,7378,(株)アシロ,東証GRT,5270,2021-07-20,717.0,2023/10
288,289,4074,(株)ラキール,東証GRT,11388,2021-07-16,1488.0,2022/12
289,290,7377,ＤＮホールディングス(株),東証STD,12739,2021-07-14,1513.0,2023/06
290,291,7792,(株)コラントッテ,東証GRT,8522,2021-07-08,945.0,2023/09
291,292,7376,ＢＣＣ(株),東証GRT,1915,2021-07-06,1710.0,2023/09
292,293,4072,(株)電算システムホールディングス,東証PRM,29238,2021-07-01,2709.0,2023/12
293,294,7347,(株)マーキュリアホールディングス,東証PRM,15265,2021-07-01,710.0,2022/12
294,295,7375,(株)リファインバースグループ,東証GRT,3622,2021-07-01,1085.0,2023/06
295,296,4071,(株)プラスアルファ・コンサルティング,東証PRM,103614,2021-06-30,2453.0,2023/09
296,297,4069,(株)ＢｌｕｅＭｅｍｅ,東証GRT,4347,2021-06-29,1220.0,2023/03
297,298,4937,(株)Ｗａｑｏｏ,東証GRT,7149,2021-06-29,1981.0,2023/09
298,299,7699,オムニ・プラス・システム,東証GRT外国,0,2021-06-29,570.0,2023/03
299,300,7374,(株)コンフィデンス・インターワークス,東証GRT,10477,2021-06-28,1585.0,2023/03
300,301,5759,日本電解(株),東証GRT,9575,2021-06-25,1058.0,2023/03
301,302,7096,(株)ステムセル研究所,東証GRT,20749,2021-06-25,2025.0,2023/03
302,303,4068,ベイシス(株),東証GRT,2458,2021-06-24,1320.0,2023/06
303,304,4932,(株)アルマード,東証STD,15175,2021-06-24,1460.0,2023/03
304,305,7318,セレンディップ・ホールディングス(株),東証GRT,9039,2021-06-24,1907.0,2023/03
305,306,7345,(株)アイ・パートナーズフィナンシャル,東証GRT,1450,2021-06-23,420.0,2023/03
306,307,7373,(株)アイドマ・ホールディングス,東証GRT,30757,2021-06-23,2019.0,2023/08
307,308,7791,ドリームベッド(株),東証STD,3318,2021-06-23,799.0,2023/03
308,309,2989,東海道リート投資法人,東証,35412,2021-06-22,127200.0,---
309,310,4489,(株)ペイロール,東証GRT,24865,2021-06-22,1377.0,2023/03
310,311,4882,(株)ペルセウスプロテオミクス,東証GRT,5809,2021-06-22,491.0,2023/03
311,312,7372,(株)デコルテ・ホールディングス,東証GRT,2642,2021-06-22,466.0,2023/09
312,313,7370,(株)Ｅｎｊｉｎ,東証GRT,7893,2021-06-18,1086.0,2023/05
313,314,7371,Ｚｅｎｋｅｎ(株),東証GRT,6198,2021-06-16,506.0,2023/06
314,315,4198,(株)テンダ,東証STD,5030,2021-06-10,2303.0,2023/05
315,316,4199,ワンダープラネット(株),東証GRT,3492,2021-06-10,1347.0,2023/08
316,317,7369,(株)メイホーホールディングス,東証GRT,3242,2021-06-02,2073.0,2023/06
317,318,5074,テスホールディングス(株),東証PRM,31349,2021-04-27,444.0,2023/06
318,319,4194,ビジョナル(株),東証PRM,368160,2021-04-22,9400.0,2023/07
319,320,4196,(株)ネオマーケティング,東証STD,2558,2021-04-22,1013.0,2023/09
320,321,4888,ステラファーマ(株),東証GRT,7775,2021-04-22,249.0,2023/03
321,322,4498,サイバートラスト(株),東証GRT,14997,2021-04-15,1855.0,2023/03
322,323,2933,(株)紀文食品,東証PRM,27259,2021-04-13,1194.0,2023/03
323,324,7698,(株)アイスコ,東証STD,3089,2021-04-08,1590.0,2023/03
324,325,4193,(株)ファブリカコミュニケーションズ,東証STD,10458,2021-04-07,1963.0,2023/03
325,326,7368,表示灯(株),東証STD,7189,2021-04-07,1523.0,2023/03
326,327,7367,(株)セルム,東証STD,10198,2021-04-06,740.0,2023/03
327,328,6521,(株)オキサイド,東証GRT,30540,2021-04-05,2775.0,2023/02
328,329,1786,オリエンタル白石(株),東証PRM,49971,2021-04-01,360.0,2023/03
329,330,4886,あすか製薬ホールディングス(株),東証PRM,59751,2021-04-01,1955.0,2023/03
330,331,4887,サワイグループホールディングス(株),東証PRM,257432,2021-04-01,5877.0,2023/03
331,332,7366,(株)ＬＩＴＡＬＩＣＯ,東証PRM,77749,2021-04-01,2179.0,2023/03
332,333,4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ(株),東証PRM,186546,2021-03-30,1831.0,2022/12
333,334,4192,スパイダープラス(株),東証GRT,23756,2021-03-30,677.0,2022/12
334,335,7343,ブロードマインド(株),東証GRT,6231,2021-03-26,1122.0,2023/03
335,336,9327,(株)イー・ロジット,東証STD,1870,2021-03-26,504.0,2023/03
336,337,4179,(株)ジーネクスト,東証GRT,1352,2021-03-25,321.0,2023/03
337,338,7363,(株)ベビーカレンダー,東証GRT,1402,2021-03-25,1489.0,2022/12
338,339,4178,(株)Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,東証GRT,2951,2021-03-24,778.0,2022/12
339,340,6614,(株)シキノハイテック,東証STD,11755,2021-03-24,2657.0,2023/03
340,341,4176,(株)ココナラ,東証GRT,11507,2021-03-19,482.0,2023/08
341,342,7362,(株)Ｔ．Ｓ．Ｉ,東証GRT,1824,2021-03-19,1190.0,2022/12
342,343,4177,(株)ｉ－ｐｌｕｇ,東証GRT,4510,2021-03-18,1142.0,2023/03
343,344,4432,ウイングアーク１ｓｔ(株),東証PRM,104164,2021-03-16,2993.0,2023/02
344,345,7361,(株)ヒューマンクリエイションホールディングス,東証GRT,4502,2021-03-16,2337.0,2023/09
345,346,4175,(株)ｃｏｌｙ,東証GRT,4947,2021-02-26,899.0,2023/01
346,347,4885,室町ケミカル(株),東証STD,2871,2021-02-26,701.0,2023/05
347,348,4174,(株)アピリッツ,東証STD,4984,2021-02-25,1191.0,2023/01
348,349,4173,(株)ＷＡＣＵＬ,東証GRT,3677,2021-02-19,515.0,2023/02
349,350,4936,(株)アクシージア,東証PRM,21543,2021-02-18,856.0,2023/07
350,351,2983,(株)アールプランナー,東証GRT,3550,2021-02-10,660.0,2023/01
351,352,6613,(株)ＱＤレーザ,東証GRT,23651,2021-02-05,567.0,2023/03
352,353,7360,(株)オンデック,東証GRT,2703,2020-12-29,944.0,2023/11
353,354,4884,クリングルファーマ(株),東証GRT,3735,2020-12-28,593.0,2023/09
354,355,4172,東和ハイシステム(株),東証STD,3846,2020-12-25,1726.0,2023/09
355,356,4881,(株)ファンペップ,東証GRT,3442,2020-12-25,142.0,2022/12
356,357,6230,ＳＡＮＥＩ(株),東証STD,9534,2020-12-25,4165.0,2023/03
357,358,4171,(株)グローバルインフォメーション,東証STD,4433,2020-12-24,1504.0,2023/12
358,359,7359,(株)東京通信グループ,東証GRT,6648,2020-12-24,660.0,2022/12
359,360,4169,ＥＮＥＣＨＡＮＧＥ(株),東証GRT,46218,2020-12-23,1494.0,2023/12
360,361,7695,(株)交換できるくん,東証GRT,4435,2020-12-23,1950.0,2023/03
361,362,4168,(株)ヤプリ,東証GRT,13630,2020-12-22,1052.0,2022/12
362,363,4170,(株)Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,東証GRT,4031,2020-12-22,239.0,2022/12
363,364,7342,ウェルスナビ(株),東証GRT,84529,2020-12-22,1708.0,2022/12
364,365,7358,(株)ポピンズ,東証STD,16385,2020-12-21,1610.0,2022/12
365,366,7694,(株)いつも,東証GRT,4633,2020-12-21,790.0,2023/03
366,367,4167,(株)ココペリ,東証GRT,2818,2020-12-18,356.0,2023/03
367,368,7031,(株)インバウンドテック,東証GRT,2941,2020-12-18,1124.0,2023/03
368,369,4020,ビートレンド(株),東証GRT,2927,2020-12-17,1332.0,2022/12
369,370,4165,(株)プレイド,東証GRT,25114,2020-12-17,631.0,2023/09
370,371,4166,かっこ(株),東証GRT,2104,2020-12-17,788.0,2022/12
371,372,4935,(株)リベルタ,東証STD,2148,2020-12-17,719.0,2022/12
372,373,6229,(株)オーケーエム,東証STD,6634,2020-12-17,1467.0,2023/03
373,374,6612,バルミューダ(株),東証GRT,11568,2020-12-16,1370.0,2023/12
374,375,7092,(株)Ｆａｓｔ　Ｆｉｔｎｅｓｓ　Ｊａｐａｎ,東証PRM,20594,2020-12-16,1099.0,2023/03
375,376,7944,ローランド(株),東証PRM,139407,2020-12-16,4950.0,2022/12
376,377,4019,(株)スタメン,東証GRT,6885,2020-12-15,794.0,2022/12
377,378,9145,(株)ビーイングホールディングス,東証STD,17011,2020-12-15,2853.0,2022/12
378,379,4494,バリオセキュア(株),東証STD,2965,2020-11-30,656.0,2023/02
379,380,4017,(株)クリーマ,東証GRT,2033,2020-11-27,302.0,2023/02
380,381,7357,(株)ジオコード,東証STD,1759,2020-11-26,643.0,2023/02
381,382,4016,ＭＩＴホールディングス(株),東証STD,1464,2020-11-25,694.0,2023/11
382,383,4015,アララ(株),東証GRT,6157,2020-11-19,515.0,2023/08
383,384,7356,Ｒｅｔｔｙ(株),東証GRT,2550,2020-10-30,171.0,2023/09
384,385,4934,プレミアアンチエイジング(株),東証GRT,8119,2020-10-28,931.0,2023/07
385,386,7097,(株)さくらさくプラス,東証GRT,4375,2020-10-28,969.0,2023/07
386,387,4014,(株)カラダノート,東証GRT,3248,2020-10-27,509.0,2023/07
387,388,7692,(株)アースインフィニティ,東証STD,7159,2020-10-16,65.0,2023/07
388,389,4013,勤次郎(株),東証GRT,8534,2020-10-13,819.0,2023/12
389,390,7354,(株)ダイレクトマーケティングミックス,東証PRM,16794,2020-10-05,356.0,2022/12
390,391,2987,(株)タスキ,東証GRT,18792,2020-10-02,1334.0,2023/09
391,392,7337,(株)ひろぎんホールディングス,東証PRM,312246,2020-10-01,999.6,2023/03
392,393,7338,インヴァスト(株),東証STD,6617,2020-10-01,1126.0,2023/03
393,394,4012,(株)アクシス,東証STD,5972,2020-09-30,1409.0,2023/12
394,395,4011,(株)ヘッドウォータース,東証GRT,17948,2020-09-29,9540.0,2022/12
395,396,4060,ｒａｋｕｍｏ(株),東証GRT,6778,2020-09-28,1174.0,2023/12
396,397,2932,(株)ＳＴＩフードホールディングス,東証STD,25691,2020-09-25,4335.0,2023/12
397,398,4933,(株)Ｉ－ｎｅ,東証PRM,37995,2020-09-25,2138.0,2023/12
398,399,4058,トヨクモ(株),東証GRT,17901,2020-09-24,1628.0,2022/12
399,400,4059,(株)まぐまぐ,東証STD,1883,2020-09-24,669.0,2023/09
400,401,4930,(株)グラフィコ,東証STD,2328,2020-09-24,2480.0,2023/06
401,402,1375,(株)雪国まいたけ,東証PRM,37556,2020-09-17,941.0,2023/03
402,403,4057,(株)インターファクトリー,東証GRT,2128,2020-08-25,516.0,2023/05
403,404,4056,ニューラルグループ(株),東証GRT,18474,2020-08-20,1205.0,2022/12
404,405,4055,ティアンドエス(株),東証GRT,17266,2020-08-07,2262.0,2023/11
405,406,4883,(株)モダリス,東証GRT,3336,2020-08-03,100.0,2022/12
406,407,4053,(株)Ｓｕｎ　Ａｓｔｅｒｉｓｋ,東証PRM,39713,2020-07-31,1043.0,2023/12
407,408,4054,日本情報クリエイト(株),東証GRT,8776,2020-07-31,612.0,2023/06
408,409,4051,ＧＭＯフィナンシャルゲート(株),東証GRT,91608,2020-07-15,11030.0,2023/09
409,410,4495,(株)アイキューブドシステムズ,東証GRT,6814,2020-07-15,1287.0,2023/06
410,411,7353,ＫＩＹＯラーニング(株),東証GRT,6191,2020-07-15,910.0,2022/12
411,412,4499,(株)Ｓｐｅｅｅ,東証STD,21442,2020-07-10,2019.0,2023/09
412,413,7352,(株)ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,東証GRT,58162,2020-07-07,1385.0,2023/08
413,414,2986,(株)ＬＡホールディングス,東証GRT,32171,2020-07-01,5150.0,2022/12
414,415,7351,(株)グッドパッチ,東証GRT,5352,2020-06-30,584.0,2023/08
415,416,6599,エブレン(株),東証STD,3708,2020-06-29,2414.0,2023/03
416,417,4496,(株)コマースＯｎｅホールディングス,東証GRT,5304,2020-06-26,705.0,2023/03
417,418,4052,フィーチャ(株),東証GRT,4538,2020-06-24,775.0,2023/06
418,419,7689,(株)コパ・コーポレーション,東証GRT,2255,2020-06-24,761.0,2023/02
419,420,7317,(株)松屋アールアンドディ,東証GRT,17015,2020-04-06,803.0,2023/03
420,421,2982,(株)ＡＤワークスグループ,東証PRM,11968,2020-04-01,242.0,2023/12
421,422,7095,(株)Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,東証GRT,64049,2020-03-31,17700.0,2023/04
422,423,1444,(株)ニッソウ,東証GRT,2812,2020-03-30,2583.0,2023/07
423,424,7094,(株)ＮｅｘＴｏｎｅ,東証GRT,12331,2020-03-30,1252.0,2023/03
424,425,4493,(株)サイバーセキュリティクラウド,東証GRT,23201,2020-03-26,2455.0,2022/12
425,426,7093,アディッシュ(株),東証GRT,1544,2020-03-26,857.0,2022/12
426,427,5071,(株)ヴィス,東証STD,8479,2020-03-25,1030.0,2023/03
427,428,4492,(株)ゼネテック,東証STD,7533,2020-03-19,646.0,2023/03
428,429,5368,日本インシュレーション(株),東証STD,8995,2020-03-19,1033.0,2023/03
429,430,9326,(株)関通,東証GRT,5401,2020-03-19,524.0,2023/02
430,431,5070,(株)ドラフト,東証GRT,6719,2020-03-17,669.0,2022/12
431,432,7091,(株)リビングプラットフォーム,東証GRT,7039,2020-03-17,1567.0,2023/03
432,433,7687,(株)ミクリード,東証GRT,3556,2020-03-16,1618.0,2023/03
433,434,6231,木村工機(株),東証STD,14511,2020-03-13,3770.0,2023/03
434,435,7089,フォースタートアップス(株),東証GRT,5253,2020-03-13,1445.0,2023/03
435,436,7090,(株)リグア,東証GRT,2526,2020-03-13,1690.0,2023/03
436,437,4491,コンピューターマネージメント(株),東証STD,3255,2020-03-11,1600.0,2023/03
437,438,4490,(株)ビザスク,東証GRT,8189,2020-03-10,890.0,2023/02
438,439,7088,(株)フォーラムエンジニアリング,東証PRM,49359,2020-03-09,924.0,2023/03
439,440,7086,(株)きずなホールディングス,東証GRT,9897,2020-03-06,1433.0,2023/05
440,441,7087,(株)ウイルテック,東証STD,5556,2020-03-06,860.0,2023/03
441,442,7084,(株)Ｋｉｄｓ　Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,東証GRT,2942,2020-03-04,907.0,2023/03
442,443,7085,(株)カーブスホールディングス,東証PRM,69173,2020-03-02,737.0,2023/08
443,444,7083,ＡＨＣグループ(株),東証GRT,1552,2020-02-25,738.0,2023/11
444,445,7081,コーユーレンティア(株),東証STD,11366,2020-02-07,2077.0,2022/12
445,446,7082,(株)ジモティー,東証GRT,7787,2020-02-07,1562.0,2022/12
446,447,7080,(株)スポーツフィールド,東証GRT,6155,2019-12-26,1672.0,2022/12
447,448,4488,ＡＩ　ｉｎｓｉｄｅ(株),東証GRT,29359,2019-12-25,7340.0,2023/03
448,449,7079,ＷＤＢココ(株),東証GRT,10955,2019-12-25,4555.0,2023/03
449,450,6557,ＡＩＡＩグループ(株),東証GRT,4494,2019-12-23,1451.0,2023/03
450,451,7686,(株)カクヤスグループ,東証STD,16453,2019-12-23,1708.0,2023/03
451,452,4487,(株)スペースマーケット,東証GRT,5109,2019-12-20,427.0,2023/12
452,453,7078,ＩＮＣＬＵＳＩＶＥ(株),東証GRT,9398,2019-12-20,940.0,2023/03
453,454,2980,ＳＲＥホールディングス(株),東証PRM,51480,2019-12-19,3180.0,2023/03
454,455,2981,(株)ランディックス,東証GRT,7056,2019-12-19,2491.0,2023/03
455,456,4485,(株)ＪＴＯＷＥＲ,東証GRT,116266,2019-12-18,5270.0,2023/03
456,457,4486,ユナイトアンドグロウ(株),東証GRT,4575,2019-12-18,1158.0,2022/12
457,458,7685,(株)ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,東証GRT,43626,2019-12-18,2991.0,2022/12
458,459,4478,フリー(株),東証GRT,162288,2019-12-17,2785.0,2023/06
459,460,4482,(株)ウィルズ,東証GRT,15770,2019-12-17,749.0,2022/12
460,461,4481,ベース(株),東証PRM,60535,2019-12-16,3225.0,2022/12
461,462,4483,(株)ＪＭＤＣ,東証PRM,229327,2019-12-16,3511.0,2023/03
462,463,4484,ランサーズ(株),東証GRT,4314,2019-12-16,272.0,2023/03
463,464,4480,(株)メドレー,東証PRM,145359,2019-12-12,4440.0,2022/12
464,465,4479,(株)マクアケ,東証GRT,8778,2019-12-11,693.0,2023/09
465,466,2979,SOSiLA物流リート投資法人,東証,84681,2019-12-10,116400.0,---
466,467,3449,(株)テクノフレックス,東証STD,22748,2019-12-10,1065.0,2022/12
467,468,7077,(株)ＡＬｉＮＫインターネット,東証GRT,2353,2019-12-10,1101.0,2023/02
468,469,7076,名南Ｍ＆Ａ(株),名証MN,2522,2019-12-02,801.0,2023/09
469,470,7074,(株)トゥエンティーフォーセブン,東証GRT,1550,2019-11-21,269.0,2023/11
470,471,7683,(株)ダブルエー,東証GRT,20596,2019-11-01,2161.0,2023/01
471,472,4251,恵和(株),東証PRM,28039,2019-10-30,1455.0,2022/12
472,473,7073,(株)ジェイック,東証GRT,1935,2019-10-29,2077.0,2023/01
473,474,4880,セルソース(株),東証PRM,25402,2019-10-28,1283.0,2023/10
474,475,4477,ＢＡＳＥ(株),東証GRT,38591,2019-10-25,335.0,2023/12
475,476,7072,(株)インティメート・マージャー,東証GRT,3433,2019-10-24,1036.0,2023/09
476,477,4691,ワシントンホテル(株),東証STD,10271,2019-10-18,844.0,2023/03
477,478,7682,(株)浜木綿,東証STD,7769,2019-10-18,3600.0,2023/07
478,479,7071,(株)アンビスホールディングス,東証PRM,248498,2019-10-09,2534.0,2023/09
479,480,4475,ＨＥＮＮＧＥ(株),東証GRT,47548,2019-10-08,1463.0,2023/09
480,481,4476,ＡＩ　ＣＲＯＳＳ(株),東証GRT,4817,2019-10-08,1193.0,2022/12
481,482,7681,(株)レオクラン,東証STD,5356,2019-10-02,2729.0,2023/09
482,483,4450,(株)パワーソリューションズ,東証GRT,3805,2019-10-01,2655.0,2022/12
483,484,6597,ＨＰＣシステムズ(株),東証GRT,8473,2019-09-26,1944.0,2023/06
484,485,4448,Ｃｈａｔｗｏｒｋ(株),東証GRT,20314,2019-09-24,500.0,2023/12
485,486,4449,(株)ギフティ,東証PRM,47245,2019-09-20,1607.0,2022/12
486,487,7069,(株)サイバー・バズ,東証GRT,5818,2019-09-19,1459.0,2023/09
487,488,7800,(株)アミファ,東証STD,2080,2019-09-19,643.0,2023/09
488,489,4447,(株)ピー・ビーシステムズ,東証GRT,4049,2019-09-12,615.0,2023/09
489,490,7679,(株)薬王堂ホールディングス,東証PRM,52094,2019-09-02,2639.0,2023/02
490,491,4599,(株)ステムリム,東証GRT,33001,2019-08-09,537.0,2023/07
491,492,2978,(株)ツクルバ,東証GRT,9426,2019-07-31,808.0,2023/07
492,493,7803,(株)ブシロード,東証GRT,32089,2019-07-29,450.0,2023/06
493,494,7804,(株)ビーアンドピー,東証STD,3425,2019-07-24,1489.0,2023/10
494,495,4446,(株)Ｌｉｎｋ－Ｕ,東証PRM,9127,2019-07-18,644.0,2023/07
495,496,7068,フィードフォースグループ(株),東証GRT,14454,2019-07-05,561.0,2023/05
496,497,4445,リビン・テクノロジーズ(株),東証GRT,3037,2019-06-28,2260.0,2023/09
497,498,4931,新日本製薬(株),東証PRM,39186,2019-06-27,1793.0,2023/09
498,499,7678,(株)あさくま,東証STD,12609,2019-06-27,2342.0,2023/03
499,500,7677,(株)ヤシマキザイ,東証STD,5861,2019-06-26,2035.0,2023/03
500,501,4444,(株)インフォネット,東証GRT,2981,2019-06-25,1463.0,2023/03
501,502,7067,ブランディングテクノロジー(株),東証GRT,1607,2019-06-21,1005.0,2023/03
502,503,7066,(株)ピアズ,東証GRT,11700,2019-06-20,1173.0,2023/09
503,504,2976,日本グランデ(株),札幌ア,1075,2019-06-19,800.0,2023/03
504,505,4443,Ｓａｎｓａｎ(株),東証PRM,181801,2019-06-19,1447.0,2023/05
505,506,7065,ユーピーアール(株),東証STD,11942,2019-06-12,1559.0,2023/08
506,507,2974,大英産業(株),福証,3524,2019-06-04,1069.0,2023/09
507,508,2975,スター・マイカ・ホールディングス(株),東証PRM,18190,2019-06-01,535.0,2023/11
508,509,4442,バルテス・ホールディングス(株),東証GRT,16431,2019-05-30,766.0,2023/03
509,510,4441,トビラシステムズ(株),東証STD,9152,2019-04-25,861.0,2023/10
510,511,7676,(株)グッドスピード,東証GRT,2683,2019-04-25,709.0,2022/09
511,512,7064,(株)ハウテレビジョン,東証GRT,3711,2019-04-24,2712.0,2023/01
512,513,4440,(株)ヴィッツ,東証STD,3349,2019-04-08,802.0,2023/08
513,514,4439,(株)東名,東証STD,17072,2019-04-03,2294.0,2023/08
514,515,7675,セントラルフォレストグループ(株),名証MN,18881,2019-04-01,2150.0,2023/12
515,516,4438,(株)Ｗｅｌｂｙ,東証GRT,4739,2019-03-29,605.0,2022/12
516,517,7063,(株)Ｂｉｒｄｍａｎ,東証GRT,5759,2019-03-29,1125.0,2023/06
517,518,7061,日本ホスピスホールディングス(株),東証GRT,20015,2019-03-28,2483.0,2022/12
518,519,7062,(株)フレアス,東証GRT,2275,2019-03-28,967.0,2023/03
519,520,7674,(株)ＮＡＴＴＹ　ＳＷＡＮＫＹホールディングス,東証GRT,8481,2019-03-28,3470.0,2023/01
520,521,4437,ｇｏｏｄｄａｙｓホールディングス(株),東証GRT,4011,2019-03-25,594.0,2023/03
521,522,7060,ギークス(株),東証STD,4893,2019-03-20,474.0,2023/03
522,523,1451,(株)ＫＨＣ,東証STD,3032,2019-03-19,757.0,2023/03
523,524,4436,(株)ミンカブ・ジ・インフォノイド,東証GRT,21692,2019-03-19,1448.0,2023/03
524,525,7059,(株)コプロ・ホールディングス,東証PRM,32760,2019-03-19,1638.0,2023/03
525,526,7058,共栄セキュリティーサービス(株),東証STD,4557,2019-03-18,3025.0,2023/03
